
"2023-12-13T18:13:55.732808900","545.66","grocery","Raiffaisen Card","Bread and Butter"
"2023-12-13T18:15:02.195925200","545.66","grocery","Raiffaisen Card","Bread and Butter"
"2023-12-13T18:15:20.242529800","545.66","grocery","Raiffaisen Card","Bread and Butter"
"2023-12-13T18:15:31.725539600","545.66","grocery","Raiffaisen Card","Bread and Butter"
"2023-12-14T16:48:06.828329300","344.12","grocery","Raiffaisen Card","Vegetables"
"2023-12-14T16:51:06.575699900","344.12","grocery","Account@5e9f23b4","Vegetables"
"2023-12-14T16:51:43.804225","344.12","grocery","Account@5e9f23b4","Vegetables"
"2023-12-14T16:53:16.736119600","344.12","grocery","Raiffaisen Card","Vegetables"
"2023-12-14T17:42:08.613579900","344.12","grocery","Raiffaisen Card","Vegetables"
"2023-12-14T17:43:12.287736700","344.12","grocery","Raiffaisen Card","Vegetables"
"2023-12-15T13:07:17.460249400","777.77","grocery","Raiffaisen Card","Vegetables"
"2023-12-15T19:40:26.271101800","111.33","grocery","Raiffaisen Card","Vegetables"
"2023-12-15T19:42:04.626194900","222.33","grocery","Raiffaisen Card","Vegetables"
"2023-12-15T19:45:25.449415700","222.33","grocery","Raiffaisen Card","Vegetables"
