
"2023-12-13T18:13:55.732808900","545.66","grocery","Raiffaisen Card","Bread and Butter"
"2023-12-13T18:15:02.195925200","545.66","grocery","Raiffaisen Card","Bread and Butter"
"2023-12-13T18:15:20.242529800","545.66","grocery","Raiffaisen Card","Bread and Butter"
"2023-12-14T16:48:06.828329300","344.12","grocery","Raiffaisen Card","Vegetables"
"2023-12-14T16:51:06.575699900","344.12","grocery","Account@5e9f23b4","Vegetables"
"2023-12-14T16:51:43.804225","344.12","grocery","Account@5e9f23b4","Vegetables"
"2023-12-14T16:53:16.736119600","344.12","grocery","Raiffaisen Card","Vegetables"
"2023-12-15T19:42:04.626194900","222.33","grocery","Raiffaisen Card","Vegetables"
"2023-12-15T19:45:25.449415700","222.33","grocery","Raiffaisen Card","Vegetables"
"2023-12-19T20:29:48.838365900","222.33","grocery","Raiffaisen card","Vegetables"
"2023-12-19T20:30:23.983996900","222.33","grocery","Raiffaisen card","Vegetables"
"2023-12-19T20:30:28.926374200","222.33","grocery","Raiffaisen card","Vegetables"
"2023-12-19T20:37:54.348306800","222.33","grocery","Raiffaisen card","Vegetables"
"2023-12-19T20:38:05.997355200","222.33","grocery","Raiffaisen card","Vegetables"
"2023-12-19T20:38:17.397038900","222.33","grocery","Raiffaisen card","Vegetables"
